Iter,Interp,Mover,Total
1,0.104064,0.325190,0.429254
2,0.104004,0.323168,0.427172
3,0.103468,0.322827,0.426295
4,0.103541,0.322971,0.426512
5,0.103241,0.323267,0.426508
6,0.103429,0.323943,0.427372
7,0.103475,0.322763,0.426238
8,0.103790,0.322929,0.426719
9,0.103453,0.327656,0.431109
10,0.104054,0.322752,0.426806
