Iter,Interp,Mover,Total
1,0.360000,0.340000,0.700000
2,0.390000,0.340000,0.730000
3,0.350000,0.340000,0.690000
4,0.340000,0.340000,0.680000
5,0.330000,0.340000,0.670000
6,0.340000,0.360000,0.700000
7,0.570000,0.330000,0.900000
8,0.350000,0.360000,0.710000
9,0.340000,0.370000,0.710000
10,0.350000,0.340000,0.690000
