Iter,Interp,Mover,Total
1,0.340000,16.060000,16.400000
2,0.410000,14.490000,14.900000
3,0.440000,13.440000,13.880000
4,0.410000,16.700000,17.110000
5,0.400000,15.730000,16.130000
6,0.480000,16.190000,16.670000
7,0.400000,16.270000,16.670000
8,0.410000,15.370000,15.780000
9,0.400000,16.000000,16.400000
10,0.570000,15.880000,16.450000

